[2025-02-12 10:36:45] 트래커 초기화 완료
[2025-02-12 10:36:54] 트래커 초기화 완료
[2025-02-12 10:36:54] ROI 선택됨: (440, 202, 36, 36)
[2025-02-12 10:36:54] MOSSE 추적 실패: 타겟 재탐색 중
[2025-02-12 10:36:56] 트래커 초기화 완료
[2025-02-12 10:36:56] ROI 선택됨: (437, 200, 53, 37)
[2025-02-12 10:36:59] 미사일 위치: [640, 161], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -1.2000000000000002, 'right': 1.2000000000000002}
[2025-02-12 10:36:59] 미사일 위치: [640, 162], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -1.2000000000000002, 'right': 1.2000000000000002}
[2025-02-12 10:36:59] 미사일 위치: [640, 163], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -1.3, 'right': 1.3}
[2025-02-12 10:36:59] 미사일 위치: [640, 164], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -1.3, 'right': 1.3}
[2025-02-12 10:36:59] 미사일 위치: [640, 165], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -1.4000000000000001, 'right': 1.4000000000000001}
[2025-02-12 10:36:59] 미사일 위치: [640, 166], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -1.5, 'right': 1.5}
[2025-02-12 10:36:59] 미사일 위치: [640, 167], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -1.6, 'right': 1.6}
[2025-02-12 10:36:59] 미사일 위치: [640, 168], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': -1.6, 'right': 1.6}
[2025-02-12 10:36:59] 미사일 위치: [640, 169], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -1.6, 'right': 1.6}
[2025-02-12 10:36:59] 미사일 위치: [640, 170], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -1.6, 'right': 1.6}
[2025-02-12 10:36:59] 미사일 위치: [640, 171], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': -1.9000000000000001, 'right': 1.9000000000000001}
[2025-02-12 10:36:59] 미사일 위치: [640, 172], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -1.8, 'right': 1.8}
[2025-02-12 10:36:59] 미사일 위치: [640, 173], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -1.8, 'right': 1.8}
[2025-02-12 10:36:59] 미사일 위치: [640, 174], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -1.8, 'right': 1.8}
[2025-02-12 10:36:59] 미사일 위치: [640, 175], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -1.8, 'right': 1.8}
[2025-02-12 10:36:59] 미사일 위치: [640, 176], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -1.9000000000000001, 'right': 1.9000000000000001}
[2025-02-12 10:36:59] 미사일 위치: [640, 178], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -2.0, 'right': 2.0}
[2025-02-12 10:36:59] 미사일 위치: [640, 180], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -2.0, 'right': 2.0}
[2025-02-12 10:36:59] 미사일 위치: [640, 182], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -2.0, 'right': 2.0}
[2025-02-12 10:36:59] 미사일 위치: [640, 184], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -2.0, 'right': 2.0}
[2025-02-12 10:36:59] 미사일 위치: [640, 186], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -2.1, 'right': 2.1}
[2025-02-12 10:36:59] 미사일 위치: [640, 188], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -2.1, 'right': 2.1}
[2025-02-12 10:36:59] 미사일 위치: [640, 190], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -2.2, 'right': 2.2}
[2025-02-12 10:36:59] 미사일 위치: [640, 192], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -2.3000000000000003, 'right': 2.3000000000000003}
[2025-02-12 10:36:59] 미사일 위치: [640, 194], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -2.3000000000000003, 'right': 2.3000000000000003}
[2025-02-12 10:36:59] 미사일 위치: [640, 196], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -2.3000000000000003, 'right': 2.3000000000000003}
[2025-02-12 10:36:59] 미사일 위치: [640, 198], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -2.4000000000000004, 'right': 2.4000000000000004}
